Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
4-amino-5-chloro-1H-pyridazin-6-one,μg/l,,6339-19-1,,,4-amino-5-chloro-1H-pyridazin-6-one,,chloridazon-desfenyl,,
chloroethene,μg/l,,75-01-4,,,chloroethene,,chlooretheen | vinylchloride,ClC2e,chlooretheen (vinylchloride)
chloroform,μg/l,,67-66-3,,,chloroform,,trichloormethaan | chloroform,TClC1a,trichloormethaan (chloroform)
toluene,μg/l,,108-88-3,,,toluene,,methylbenzeen,Tol,tolueen
"1,2,3,4,5-pentachloro-6-nitrobenzene",μg/l,,82-68-8,,,"1,2,3,4,5-pentachloro-6-nitrobenzene",,pentachloornitrobenzeen | quintozeen,PeClNO2Ben,pentachloornitrobenzeen (quintozeen)
"1,5-dimethyl-2-phenylpyrazol-3-one",μg/l,,60-80-0,,,"1,5-dimethyl-2-phenylpyrazol-3-one",,fenazon | antipyrine,fenzn,fenazon (antipyrine)
"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",μg/l,,2691-41-0,,,"1,3,5,7-tetranitro-1,3,5,7-tetrazocane",,octogeen | HMX,octgn,octogeen (HMX)
2-ethoxy-2-methylpropane,μg/l,,637-92-3,,,2-ethoxy-2-methylpropane,,MTBE,C1yttC4yEtr,methyl-tertiair-butylether
2-(4-chloro-2-methylphenoxy)propanoic acid,μg/l,,93-65-2,,,2-(4-chloro-2-methylphenoxy)propanoic acid,,mecoprop MCPP | MCPP,MCPP,mecoprop
methyl (2S)-5-(diaminomethylideneamino)-2-[(4-methylphenyl)sulfonylamino]pentanoate,μg/l,,994-05-8,,,methyl (2S)-5-(diaminomethylideneamino)-2-[(4-methylphenyl)sulfonylamino]pentanoate,Tert-Amyl Methyl Ether,tert-Amylmethylether (TAME) | tert-Amylmethylether | TAME,,
"5,6-dihydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide",μg/l,,35079-97-1,,,"5,6-dihydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide",,,1011cDolcarb,"10,11-cisdiol carbamazepine"
"1,1,1,2-tetrachloroethane",μg/l,,630-20-6,,,"1,1,1,2-tetrachloroethane",,,1112T4ClC2a,"1,1,1,2-tetrachloorethaan"
"1,1,1-trichloroethane",μg/l,,71-55-6,,,"1,1,1-trichloroethane",,,111TClC2a,"1,1,1-trichloorethaan"
trichloromethylbenzene,μg/l,,98-07-7,,,trichloromethylbenzene,,,111TClTol,"1,1,1-trichloortolueen"
"1,1,2,2-tetrachloroethane",μg/l,,79-34-5,,,"1,1,2,2-tetrachloroethane",,,1122T4ClC2a,"1,1,2,2-tetrachloorethaan"
"1,1,2-trichloroethane",μg/l,,79-00-5,,,"1,1,2-trichloroethane",,,112TClC2a,"1,1,2-trichloorethaan"
"1,1,2-trichloropropane",μg/l,,598-77-6,,,"1,1,2-trichloropropane",,,112TClC3a,"1,1,2-trichloorpropaan"
"2-(8-chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctoxy)-1,1,2,2-tetrafluoroethanesulfonic acid",μg/l,,763051-92-9,,,"2-(8-chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctoxy)-1,1,2,2-tetrafluoroethanesulfonic acid",,,11ClPF3OUdS,11-chlooreicosafluor-3-oxaundecaan-1-sulfonzuur
